cod_atributo_va;tipo_atributo;tam_atributo;fec_creacion;fec_actualizacion
1;N;6;2023-10-31 00:00:00;2023-10-31 00:00:00
2;N;5;2023-10-31 00:00:00;2023-10-31 00:00:00
3;T;5;2023-10-31 00:00:00;2023-10-31 00:00:00
4;B;1;2023-10-31 00:00:00;2023-10-31 00:00:00
5;N;2;2023-10-31 00:00:00;2023-10-31 00:00:00
6;N;2;2023-10-31 00:00:00;2023-10-31 00:00:00
7;N;3;2023-10-31 00:00:00;2023-10-31 00:00:00
8;T;2;2023-10-31 00:00:00;2023-10-31 00:00:00
9;T;2;2023-10-31 00:00:00;2023-10-31 00:00:00
10;T;2;2023-10-31 00:00:00;2023-10-31 00:00:00
11;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
12;T;9;2023-10-31 00:00:00;2023-10-31 00:00:00
13;F;10;2023-10-31 00:00:00;2023-10-31 00:00:00
14;N;1;2023-10-31 00:00:00;2023-10-31 00:00:00
15;N;2;2023-10-31 00:00:00;2023-10-31 00:00:00
16;N;5;2023-10-31 00:00:00;2023-10-31 00:00:00
17;N;7;2023-10-31 00:00:00;2023-10-31 00:00:00
18;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
19;B;1;2023-10-31 00:00:00;2023-10-31 00:00:00
20;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
21;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
22;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
23;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
24;N;2;2023-10-31 00:00:00;2023-10-31 00:00:00
25;N;2;2023-10-31 00:00:00;2023-10-31 00:00:00
26;T;255;2023-10-31 00:00:00;2023-10-31 00:00:00
27;N;3;2024-01-19 00:00:00;2024-01-19 00:00:00
29;B;1;2024-01-19 00:00:00;2024-01-19 00:00:00
30;N;3;2024-02-20 00:00:00;2024-02-20 00:00:00
31;N;2;2024-04-19 00:00:00;2024-04-19 00:00:00
32;T;23;2024-04-19 00:00:00;2024-04-19 00:00:00
33;T;140;2024-06-06 00:00:00;2024-06-06 00:00:00
34;N;9;2024-06-06 00:00:00;2024-06-06 00:00:00
35;N;9;2024-06-06 00:00:00;2024-06-06 00:00:00
36;F;2;2024-10-17 00:00:00;2024-10-17 00:00:00
37;N;10;2024-10-17 00:00:00;2024-10-17 00:00:00
38;T;10;2024-10-17 00:00:00;2024-10-17 00:00:00
28;N;10;2024-01-19 00:00:00;2024-01-19 00:00:00
