cod_atributo_va;cod_documento;fec_creacion;fec_actualizacion
4;25;2023-10-31 00:00:00;2023-10-31 00:00:00
4;26;2023-10-31 00:00:00;2023-10-31 00:00:00
7;22;2023-10-31 00:00:00;2023-10-31 00:00:00
7;23;2023-10-31 00:00:00;2023-10-31 00:00:00
7;24;2023-10-31 00:00:00;2023-10-31 00:00:00
8;1;2023-10-31 00:00:00;2023-10-31 00:00:00
8;2;2023-10-31 00:00:00;2023-10-31 00:00:00
8;3;2023-10-31 00:00:00;2023-10-31 00:00:00
8;4;2023-10-31 00:00:00;2023-10-31 00:00:00
8;5;2023-10-31 00:00:00;2023-10-31 00:00:00
8;6;2023-10-31 00:00:00;2023-10-31 00:00:00
8;7;2023-10-31 00:00:00;2023-10-31 00:00:00
8;8;2023-10-31 00:00:00;2023-10-31 00:00:00
8;9;2023-10-31 00:00:00;2023-10-31 00:00:00
8;10;2023-10-31 00:00:00;2023-10-31 00:00:00
8;11;2023-10-31 00:00:00;2023-10-31 00:00:00
8;12;2023-10-31 00:00:00;2023-10-31 00:00:00
8;13;2023-10-31 00:00:00;2023-10-31 00:00:00
8;14;2023-10-31 00:00:00;2023-10-31 00:00:00
8;15;2023-10-31 00:00:00;2023-10-31 00:00:00
8;16;2023-10-31 00:00:00;2023-10-31 00:00:00
9;6;2023-10-31 00:00:00;2023-10-31 00:00:00
9;7;2023-10-31 00:00:00;2023-10-31 00:00:00
9;8;2023-10-31 00:00:00;2023-10-31 00:00:00
9;9;2023-10-31 00:00:00;2023-10-31 00:00:00
9;10;2023-10-31 00:00:00;2023-10-31 00:00:00
9;11;2023-10-31 00:00:00;2023-10-31 00:00:00
9;12;2023-10-31 00:00:00;2023-10-31 00:00:00
9;13;2023-10-31 00:00:00;2023-10-31 00:00:00
9;14;2023-10-31 00:00:00;2023-10-31 00:00:00
9;15;2023-10-31 00:00:00;2023-10-31 00:00:00
9;16;2023-10-31 00:00:00;2023-10-31 00:00:00
10;6;2023-10-31 00:00:00;2023-10-31 00:00:00
10;7;2023-10-31 00:00:00;2023-10-31 00:00:00
10;8;2023-10-31 00:00:00;2023-10-31 00:00:00
10;9;2023-10-31 00:00:00;2023-10-31 00:00:00
10;10;2023-10-31 00:00:00;2023-10-31 00:00:00
10;11;2023-10-31 00:00:00;2023-10-31 00:00:00
10;12;2023-10-31 00:00:00;2023-10-31 00:00:00
10;13;2023-10-31 00:00:00;2023-10-31 00:00:00
10;14;2023-10-31 00:00:00;2023-10-31 00:00:00
10;15;2023-10-31 00:00:00;2023-10-31 00:00:00
10;16;2023-10-31 00:00:00;2023-10-31 00:00:00
15;27;2023-10-31 00:00:00;2023-10-31 00:00:00
15;28;2023-10-31 00:00:00;2023-10-31 00:00:00
15;29;2023-10-31 00:00:00;2023-10-31 00:00:00
24;17;2023-10-31 00:00:00;2023-10-31 00:00:00
24;18;2023-10-31 00:00:00;2023-10-31 00:00:00
24;19;2023-10-31 00:00:00;2023-10-31 00:00:00
24;20;2023-10-31 00:00:00;2023-10-31 00:00:00
24;21;2023-10-31 00:00:00;2023-10-31 00:00:00
25;30;2023-10-31 00:00:00;2023-10-31 00:00:00
25;31;2023-10-31 00:00:00;2023-10-31 00:00:00
27;32;2024-01-19 00:00:00;2024-01-19 00:00:00
27;33;2024-01-19 00:00:00;2024-01-19 00:00:00
27;34;2024-01-19 00:00:00;2024-01-19 00:00:00
29;25;2024-01-19 00:00:00;2024-01-19 00:00:00
29;26;2024-01-19 00:00:00;2024-01-19 00:00:00
30;35;2024-02-20 00:00:00;2024-02-20 00:00:00
30;36;2024-02-20 00:00:00;2024-02-20 00:00:00
30;37;2024-02-20 00:00:00;2024-02-20 00:00:00
30;38;2024-02-20 00:00:00;2024-02-20 00:00:00
31;39;2024-04-19 00:00:00;2024-04-19 00:00:00
31;40;2024-04-19 00:00:00;2024-04-19 00:00:00
31;41;2024-04-19 00:00:00;2024-04-19 00:00:00
31;42;2024-10-17 00:00:00;2024-10-17 00:00:00
31;43;2024-10-17 00:00:00;2024-10-17 00:00:00
