cod_documento;ind_validacion;fec_creacion;fec_actualizacion
1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
2;f;2023-10-31 00:00:00;2023-10-31 00:00:00
3;f;2023-10-31 00:00:00;2023-10-31 00:00:00
4;f;2023-10-31 00:00:00;2023-10-31 00:00:00
5;f;2023-10-31 00:00:00;2023-10-31 00:00:00
6;f;2023-10-31 00:00:00;2023-10-31 00:00:00
7;f;2023-10-31 00:00:00;2023-10-31 00:00:00
8;f;2023-10-31 00:00:00;2023-10-31 00:00:00
9;f;2023-10-31 00:00:00;2023-10-31 00:00:00
10;f;2023-10-31 00:00:00;2023-10-31 00:00:00
11;f;2023-10-31 00:00:00;2023-10-31 00:00:00
12;f;2023-10-31 00:00:00;2023-10-31 00:00:00
13;f;2023-10-31 00:00:00;2023-10-31 00:00:00
14;f;2023-10-31 00:00:00;2023-10-31 00:00:00
15;f;2023-10-31 00:00:00;2023-10-31 00:00:00
16;f;2023-10-31 00:00:00;2023-10-31 00:00:00
17;t;2023-10-31 00:00:00;2023-10-31 00:00:00
18;t;2023-10-31 00:00:00;2023-10-31 00:00:00
19;t;2023-10-31 00:00:00;2023-10-31 00:00:00
20;t;2023-10-31 00:00:00;2023-10-31 00:00:00
21;t;2023-10-31 00:00:00;2023-10-31 00:00:00
22;f;2023-10-31 00:00:00;2023-10-31 00:00:00
23;f;2023-10-31 00:00:00;2023-10-31 00:00:00
24;f;2023-10-31 00:00:00;2023-10-31 00:00:00
25;f;2023-10-31 00:00:00;2023-10-31 00:00:00
26;f;2023-10-31 00:00:00;2023-10-31 00:00:00
27;f;2023-10-31 00:00:00;2023-10-31 00:00:00
28;f;2023-10-31 00:00:00;2023-10-31 00:00:00
29;f;2023-10-31 00:00:00;2023-10-31 00:00:00
30;f;2023-10-31 00:00:00;2023-10-31 00:00:00
31;f;2023-10-31 00:00:00;2023-10-31 00:00:00
32;f;2024-01-19 00:00:00;2024-01-19 00:00:00
33;f;2024-01-19 00:00:00;2024-01-19 00:00:00
34;f;2024-01-19 00:00:00;2024-01-19 00:00:00
35;f;2024-02-20 00:00:00;2024-02-20 00:00:00
36;f;2024-02-20 00:00:00;2024-02-20 00:00:00
37;f;2024-02-20 00:00:00;2024-02-20 00:00:00
38;f;2024-02-20 00:00:00;2024-02-20 00:00:00
39;f;2024-04-19 00:00:00;2024-04-19 00:00:00
40;f;2024-04-19 00:00:00;2024-04-19 00:00:00
41;f;2024-04-19 00:00:00;2024-04-19 00:00:00
42;f;2024-10-17 00:00:00;2024-10-17 00:00:00
43;f;2024-10-17 00:00:00;2024-10-17 00:00:00
