cod_producto_comercial;cod_rango_temperatura;fec_creacion;fec_actualizacion
FRAXQ1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;2;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;3;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;4;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;2;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;3;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;2;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;3;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;4;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;2;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;3;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;4;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;2;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;3;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;4;2024-02-20 00:00:00;2024-02-20 00:00:00
