cod_va;cod_atributo_va;ind_obligatorio;fec_creacion;fec_actualizacion
VADEPA;1;t;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;2;t;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;1;t;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;3;t;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;4;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;11;t;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;11;t;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;11;t;2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;12;t;2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;6;t;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;5;t;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;7;t;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;23;t;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;25;t;2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;13;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;14;t;2023-10-31 00:00:00;2023-10-31 00:00:00
APEPA;15;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;8;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;9;f;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;10;f;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;20;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;21;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;22;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;20;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;21;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;22;t;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;24;t;2023-10-31 00:00:00;2023-10-31 00:00:00
SEINPA;1;t;2023-10-31 00:00:00;2023-10-31 00:00:00
VDINPO;1;t;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;1;t;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;16;f;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;17;f;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;26;f;2023-10-31 00:00:00;2023-10-31 00:00:00
ARINPO;26;t;2023-10-31 00:00:00;2023-10-31 00:00:00
VADELO;1;t;2024-01-19 00:00:00;2024-01-19 00:00:00
DESPAXP;20;t;2024-01-19 00:00:00;2024-01-19 00:00:00
DESPAXP;27;t;2024-01-19 00:00:00;2024-01-19 00:00:00
CENOXP;26;t;2024-01-19 00:00:00;2024-01-19 00:00:00
DEM30XP;28;t;2024-01-19 00:00:00;2024-01-19 00:00:00
RAEEXL;18;t;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;18;t;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;19;t;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;29;f;2024-01-19 00:00:00;2024-01-19 00:00:00
REDOPA;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;16;f;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;17;f;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;26;f;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;23;t;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;25;t;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;30;t;2024-02-20 00:00:00;2024-02-20 00:00:00
ARNAPO;26;t;2024-04-19 00:00:00;2024-04-19 00:00:00
RISIPO;31;t;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;1;t;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;3;t;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;4;f;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;1;t;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;16;f;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;17;f;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;26;f;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;18;t;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;19;t;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;29;f;2024-04-19 00:00:00;2024-04-19 00:00:00
COPRISF;33;t;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRSF;34;t;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSDSF;35;t;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;34;t;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;35;t;2024-06-06 00:00:00;2024-06-06 00:00:00
ENRECLO;32;f;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;32;f;2024-04-19 00:00:00;2024-04-19 00:00:00
RIENPO;31;t;2024-08-30 00:00:00;2024-08-30 00:00:00
REINPO;3;f;2024-10-17 00:00:00;2024-10-17 00:00:00
VDNAPO;1;t;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;31;t;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;36;t;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;37;t;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;38;f;2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;2;t;2024-10-17 00:00:00;2024-10-17 00:00:00
EFHALO;14;t;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;14;t;2025-01-16 00:00:00;2025-01-16 00:00:00
