cod_va;cod_perfil;fec_alta;cod_franja;fec_creacion;fec_actualizacion
ENFHPA;1;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
EFHALO;1;2025-01-16 00:00:00;5;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHALO;1;2025-01-16 00:00:00;6;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHALO;1;2025-01-16 00:00:00;7;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;8;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;9;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;10;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;11;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;12;2025-01-16 00:00:00;2025-01-16 00:00:00
